LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,slope_mixed,p_mixed,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134697396,adhesion_kpa,45,6.117915046858712,0.30763315612126024,0.9253149574970927,"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)",59.416,0,genome_blast,FALSE,TRUE,candidate,exploratory,6.131406341012329,0.30571939969051976,0.9102106075353015,1,1,NA
LOC134716333,adhesion_kpa,45,-16.203714736853996,0.3104853074588988,0.9253149574970927,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)",52.598,0,genome_blast,TRUE,TRUE,candidate,exploratory,-16.027158849407158,0.31536680432343167,0.9102106075353015,1,1,NA
LOC134725948,adhesion_kpa,45,-9.05118997645356,0.3274892990927156,0.9253149574970927,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),27.229,1.3e-63,genome_blast,FALSE,TRUE,candidate,exploratory,-9.190422406957227,0.31969531728473793,0.9102106075353015,1,1,NA
LOC134712109,adhesion_kpa,45,6.979926765801957,0.3285784739132708,0.9253149574970927,Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Phospholipid hydroperoxide glutathione peroxidase GPX2) (EC 1.11.1.12),58.152,2.78e-79,genome_blast,FALSE,TRUE,candidate,exploratory,6.938443269742057,0.33072498589338417,0.9102106075353015,1,1,NA
LOC134721566,adhesion_kpa,45,18.129810864816534,0.3293881067879241,0.9253149574970927,Heat shock factor protein (HSF) (Heat shock transcription factor) (HSTF),39.909,2.07e-89,genome_blast,FALSE,TRUE,candidate,exploratory,17.68536545673957,0.35087978816775933,0.9102106075353015,1,1,NA
LOC134694421,adhesion_kpa,45,9.108262010151986,0.33005914982652373,0.9253149574970927,Byssal calumenin-like protein 1,95.71,0,genome_blast,FALSE,TRUE,candidate,exploratory,9.569723504773805,0.3085861197397472,0.9102106075353015,1,1,NA
LOC134721377,adhesion_kpa,45,9.536581233705098,0.3545737372073048,0.9253149574970927,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)",62.668,0,genome_blast,TRUE,TRUE,candidate,exploratory,9.411825504601842,0.36058425622233514,0.9102106075353015,1,1,NA
LOC134695816,adhesion_kpa,45,7.2409262395741925,0.3571007969422252,0.9253149574970927,Glutathione S-transferase C-terminal domain-containing protein,35.09,3.73e-114,genome_blast,FALSE,TRUE,candidate,exploratory,7.282299208915669,0.35357926114804683,0.9102106075353015,1,1,NA
LOC134714554,adhesion_kpa,45,6.7334351938147226,0.3592636188453604,0.9253149574970927,Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B),42.547,3.03e-77,genome_blast,FALSE,TRUE,candidate,exploratory,6.984549703680725,0.34263621081983275,0.9102106075353015,1,1,NA
LOC134727424,adhesion_kpa,45,7.457810574506693,0.360146519304836,0.9253149574970927,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1),41.071,5.52e-51,genome_blast,FALSE,TRUE,candidate,exploratory,7.6353094305975855,0.34884340209360853,0.9102106075353015,1,1,NA
LOC134686883,adhesion_kpa,45,3.8354852009761244,0.3659535354934208,0.9253149574970927,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),76.331,0,genome_blast,FALSE,TRUE,candidate,exploratory,3.7649819734757193,0.3750953993229307,0.9102106075353015,1,1,NA
