LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134710997,pad_area,46,0.06135408724573495,0.7325060075690428,0.9048603622911706,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)"
LOC134691221,pad_area,46,-0.9717332380686772,0.0346046497409165,0.6423625341709243,Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta)
LOC134697127,pad_area,46,-0.6468208688415557,0.28022892368928365,0.7483258078895136,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B)
LOC134722070,pad_area,46,0.0567307040170461,0.871675480597912,0.9307721233503129,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"
LOC134682488,pad_area,46,-0.21717692820389548,0.23179002916773547,0.7483258078895136,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)
LOC134690636,pad_area,46,0.16650586161070238,0.5003932245819025,0.8756881430183294,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)
LOC134721046,pad_area,46,-0.7196922484496872,0.23518280131064806,0.7483258078895136,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]
LOC134701696,pad_area,46,0.05400453955383394,0.8926816043527394,0.9373156845703764,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A)
LOC134728119,pad_area,46,-0.4393757990859062,0.12470818597248988,0.7483258078895136,Collagen alpha-1(XXII) chain
LOC134705706,pad_area,46,-0.28417701496169406,0.3805104677071006,0.8002390507278719,Collagen alpha-1(V) chain
LOC134715908,pad_area,46,-0.1795368558214855,0.6515023340680037,0.9048603622911706,Dye-decolorizing peroxidase YfeX (EC 1.11.1.-)
LOC134720677,pad_area,46,-0.12700067706718135,0.637680580547096,0.9048603622911706,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)
LOC134682504,pad_area,46,0.143206724906524,0.5326802787202283,0.9048603622911706,Collagen alpha-3(VI) chain
LOC134725897,pad_area,46,-0.04938798827523057,0.8589982716741749,0.9307721233503129,Glyoxalase 3 (EC 4.2.1.130) (Glutathione-independent glyoxalase)
LOC134697168,pad_area,46,-0.632596081062286,0.23193490584300344,0.7483258078895136,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B)
LOC134686763,pad_area,46,-0.5786376033580256,0.1393353632755971,0.7483258078895136,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37)
LOC134711515,pad_area,46,-0.1588575359755166,0.6450516205977626,0.9048603622911706,Collagen alpha-2(IV) chain
LOC134687560,pad_area,46,-0.5697917498041253,0.18842695619181868,0.7483258078895136,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1)
